Sample ID	Depth	Treatment Type	AF Z	Temp C	IRM Gauss	Intensity	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Declination: Unrotated	Inclination: Unrotated	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	Volume	X corr	Y corr	Z corr	X mean	Y mean	Z mean	Drift corrected	Tray corrected	X drift	Y drift	Z drift	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	# MM averaged	Run #	Sample Timestamp	Tray Timestamp	Orientation	X intensity	Y intensity	Z intensity	X meter	Y meter	Z meter
SC01	0.00	None	0	NA	NA	6.9187E-2	175.42	-15.85	175.42	-15.85	39.70	33.98	142.00	30.00	0.00	0.00	0.00	10.00	4.4142E-1	3.6653E-1	3.8664E-1	4.4114E-1	3.6662E-1	3.8685E-1	YES	YES	-2.0716E-7	4.4310E-5	3.3623E-5	0.0000E+0	-1.6500E-6	0.0000E+0	3.5293E-4	0.0000E+0	2.6780E-4	4	2131	05/03/16 1454	05/03/16 1434	Normal: +X +Y	4.4142E-2	3.6653E-2	3.8664E-2	-1.3507E+1	1.1212E+1	1.6426E+1
SC01	0.00	Degauss X, Y, & Z	50	NA	NA	7.5662E-2	190.09	-26.23	190.09	-26.23	44.37	17.33	142.00	30.00	0.00	0.00	0.00	10.00	5.1633E-1	5.0505E-1	2.2539E-1	5.1611E-1	5.0510E-1	2.2560E-1	YES	YES	6.4111E-5	6.3143E-7	3.4908E-5	0.0000E+0	5.0787E-4	0.0000E+0	5.0020E-6	0.0000E+0	2.7653E-4	4	2133	05/03/16 1500	05/03/16 1434	Normal: +X +Y	5.1633E-2	5.0505E-2	2.2539E-2	-1.5780E+1	1.5438E+1	9.5952E+0
SC01	0.00	Degauss X, Y, & Z	100	NA	NA	6.1993E-2	195.22	-26.54	195.22	-26.54	47.58	13.92	142.00	30.00	0.00	0.00	0.00	10.00	4.0593E-1	4.4419E-1	1.4909E-1	4.0566E-1	4.4423E-1	1.4931E-1	YES	YES	-7.3697E-7	-1.7580E-6	3.6569E-5	0.0000E+0	-5.7750E-6	0.0000E+0	-1.3776E-5	0.0000E+0	2.8656E-4	4	2134	05/03/16 1500	05/03/16 1434	Normal: +X +Y	4.0593E-2	4.4419E-2	1.4909E-2	-1.2409E+1	1.3610E+1	6.3936E+0
SC01	0.00	Degauss X, Y, & Z	150	NA	NA	4.6695E-2	196.45	-26.85	196.45	-26.85	48.13	12.91	142.00	30.00	0.00	0.00	0.00	10.00	3.0378E-1	3.3895E-1	1.0429E-1	3.0357E-1	3.3899E-1	1.0450E-1	YES	YES	6.4045E-5	2.1566E-6	3.6154E-5	0.0000E+0	5.0408E-4	0.0000E+0	1.6974E-5	0.0000E+0	2.8456E-4	4	2135	05/03/16 1500	05/03/16 1434	Normal: +X +Y	3.0378E-2	3.3895E-2	1.0429E-2	-9.3162E+0	1.0406E+1	4.4942E+0
SC01	0.00	Degauss X, Y, & Z	200	NA	NA	3.5177E-2	196.23	-27.40	196.23	-27.40	47.58	12.67	142.00	30.00	0.00	0.00	0.00	10.00	2.3149E-1	2.5338E-1	7.7152E-2	2.3121E-1	2.5342E-1	7.7366E-2	YES	YES	6.3030E-8	1.2530E-7	3.7240E-5	0.0000E+0	4.9500E-7	0.0000E+0	9.8400E-7	0.0000E+0	2.9246E-4	4	2136	05/03/16 1500	05/03/16 1434	Normal: +X +Y	2.3149E-2	2.5338E-2	7.7152E-3	-7.1235E+0	7.7972E+0	3.3445E+0
SC01	0.00	Degauss X, Y, & Z	250	NA	NA	2.8026E-2	196.70	-27.82	196.70	-27.82	47.58	12.07	142.00	30.00	0.00	0.00	0.00	10.00	1.8488E-1	2.0230E-1	5.8623E-2	1.8461E-1	2.0234E-1	5.8838E-2	YES	YES	-8.5022E-7	3.9084E-7	3.7804E-5	0.0000E+0	-6.6000E-6	0.0000E+0	3.0340E-6	0.0000E+0	2.9347E-4	4	2137	05/03/16 1500	05/03/16 1434	Normal: +X +Y	1.8488E-2	2.0230E-2	5.8623E-3	-5.7113E+0	6.2402E+0	2.5592E+0
SC01	0.00	Degauss X, Y, & Z	300	NA	NA	2.3327E-2	196.19	-28.53	196.19	-28.53	46.73	11.91	142.00	30.00	0.00	0.00	0.00	10.00	1.5645E-1	1.6620E-1	4.8150E-2	1.5617E-1	1.6624E-1	4.8364E-2	YES	YES	-2.0999E-7	1.2732E-6	3.7018E-5	0.0000E+0	-1.6500E-6	0.0000E+0	1.0004E-5	0.0000E+0	2.9087E-4	4	2138	05/03/16 1500	05/03/16 1434	Normal: +X +Y	1.5645E-2	1.6620E-2	4.8150E-3	-4.8499E+0	5.1392E+0	2.1159E+0
SC01	0.00	Degauss X, Y, & Z	350	NA	NA	2.0123E-2	194.64	-29.92	194.64	-29.92	44.75	11.89	142.00	30.00	0.00	0.00	0.00	10.00	1.3985E-1	1.3863E-1	4.1456E-2	1.3957E-1	1.3867E-1	4.1632E-2	YES	YES	1.7589E-7	1.4295E-6	-1.1469E-6	0.0000E+0	1.4025E-6	0.0000E+0	1.1398E-5	0.0000E+0	-9.1450E-6	4	2139	05/03/16 1500	05/03/16 1434	Normal: +X +Y	1.3985E-2	1.3863E-2	4.1456E-3	-4.3467E+0	4.2994E+0	1.8305E+0
SC01	0.00	Degauss X, Y, & Z	400	NA	NA	1.8763E-2	195.13	-29.89	195.13	-29.89	45.08	11.62	142.00	30.00	0.00	0.00	0.00	10.00	1.2977E-1	1.3014E-1	3.7793E-2	1.2949E-1	1.3018E-1	3.7969E-2	YES	YES	-1.5166E-6	9.4603E-7	4.4880E-8	0.0000E+0	-1.1963E-5	0.0000E+0	7.4620E-6	0.0000E+0	3.5400E-7	4	2140	05/03/16 1500	05/03/16 1434	Normal: +X +Y	1.2977E-2	1.3014E-2	3.7793E-3	-4.0415E+0	4.0414E+0	1.6749E+0
SC01	0.00	Degauss X, Y, & Z	500	NA	NA	1.5281E-2	199.54	-29.20	199.54	-29.20	48.28	9.31	142.00	30.00	0.00	0.00	0.00	10.00	1.0036E-1	1.1255E-1	2.4712E-2	1.0008E-1	1.1259E-1	2.4888E-2	YES	YES	-1.3285E-6	1.1464E-6	-7.5860E-7	0.0000E+0	-1.0642E-5	0.0000E+0	9.1840E-6	0.0000E+0	-6.0770E-6	4	2141	05/03/16 1500	05/03/16 1434	Normal: +X +Y	1.0036E-2	1.1255E-2	2.4712E-3	-3.1500E+0	3.5039E+0	1.1209E+0
