Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	Sample Timestamp	Declination: Sample Rotated	Inclination: Sample Rotated	X drift	Y drift	Z drift	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Data type	Leader length	Trailer length	Volume	Temp C	Treatment Type	Position	Run #	Offline Comment	ARM Gauss	ARM axis	IRM Gauss	Depth	Sample Timestamp	Meas. type	Tray Timestamp	Drift corrected	Tray corrected	AF X	AF Y	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift
Z41A	0	-2.2558E-6	-2.8356E-6	2.5636E-6	0.00	90.00	0.00	0.00	231.50	35.28	4.4386E-6	-2.2558E-5	-2.8356E-5	2.5636E-5	2.6435E-7	1.8587E-8	5.0144E-8	02/28/23 1053	231.50	35.28	1.1104E-10	-4.1778E-10	-6.1424E-10	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183405	NA	NA	NA	NA	2.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	-2.2558E-6	-9.3865E-1	-2.2578E-5	-2.2558E-5	2.6435E-7	-2.8356E-6	-1.2382E+0	-2.8353E-5	-2.8356E-5	1.8587E-8	2.5636E-6	1.5446E+0	2.5610E-5	2.5636E-5	5.0144E-8	6	1.1104E-10	-4.1778E-10	-6.1424E-10
Z51A1	0	-5.4012E-6	-4.0134E-6	4.2320E-6	0.00	90.00	0.00	0.00	216.61	32.17	7.9493E-6	-5.4012E-5	-4.0134E-5	4.2320E-5	3.0357E-8	1.3617E-7	1.8507E-8	02/28/23 1053	216.61	32.17	1.8262E-10	-6.8710E-10	-1.0102E-9	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	5.0	183406	NA	NA	NA	NA	5.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	-5.4012E-6	-2.2519E+0	-5.3991E-5	-5.4012E-5	3.0357E-8	-4.0134E-6	-1.7544E+0	-4.0122E-5	-4.0134E-5	1.3617E-7	4.2320E-6	2.5470E+0	4.2300E-5	4.2320E-5	1.8507E-8	6	1.8262E-10	-6.8710E-10	-1.0102E-9
Z53A1	0	-6.4610E-6	-1.0688E-6	6.2554E-6	0.00	90.00	0.00	0.00	189.39	43.69	9.0564E-6	-5.1688E-5	-8.5505E-6	5.0043E-5	9.2791E-8	4.2028E-8	1.3097E-7	02/28/23 1053	189.39	43.69	2.5421E-10	-9.5647E-10	-1.4063E-9	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	8.00	NA	Degauss X, Y, & Z	6.0	183407	NA	NA	NA	NA	6.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	-6.4610E-6	-2.1545E+0	-5.1661E-5	-5.1688E-5	9.2791E-8	-1.0688E-6	-3.7051E-1	-8.5695E-6	-8.5505E-6	4.2028E-8	6.2554E-6	3.0126E+0	5.0052E-5	5.0043E-5	1.3097E-7	6	2.5421E-10	-9.5647E-10	-1.4063E-9
Z6-Ps-0,5m1	0	-8.3202E-6	3.1943E-6	1.5685E-5	0.00	90.00	0.00	0.00	159.00	60.40	1.8041E-5	-6.6561E-5	2.5554E-5	1.2548E-4	1.7422E-7	4.9785E-8	8.9067E-9	02/28/23 1053	159.00	60.40	3.2579E-10	-1.2258E-9	-1.8022E-9	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	8.00	NA	Degauss X, Y, & Z	7.0	183408	NA	NA	NA	NA	7.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	-8.3202E-6	-2.7770E+0	-6.6552E-5	-6.6561E-5	1.7422E-7	3.1943E-6	1.1264E+0	2.5559E-5	2.5554E-5	4.9785E-8	1.5685E-5	7.5415E+0	1.2546E-4	1.2548E-4	8.9067E-9	6	3.2579E-10	-1.2258E-9	-1.8022E-9
Z42A	0	-2.0501E-5	-5.7863E-6	6.7706E-6	0.00	90.00	0.00	0.00	195.76	17.63	2.2352E-5	-2.0501E-4	-5.7863E-5	6.7706E-5	6.6898E-8	7.7966E-8	3.0276E-8	02/28/23 1053	195.76	17.63	3.9735E-10	-1.4951E-9	-2.1981E-9	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	3.0	183409	NA	NA	NA	NA	3.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	-2.0501E-5	-8.5653E+0	-2.0501E-4	-2.0501E-4	6.6898E-8	-5.7863E-6	-2.5326E+0	-5.7865E-5	-5.7863E-5	7.7966E-8	6.7706E-6	4.0719E+0	6.7689E-5	6.7706E-5	3.0276E-8	6	3.9735E-10	-1.4951E-9	-2.1981E-9
Z50A	0	2.1468E-5	-3.7407E-6	1.0875E-5	0.00	90.00	0.00	0.00	350.12	26.52	2.4354E-5	2.1468E-4	-3.7407E-5	1.0875E-4	2.1287E-7	9.5390E-8	1.8546E-8	02/28/23 1053	350.12	26.52	4.6892E-10	-1.7643E-9	-2.5940E-9	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	4.0	183410	NA	NA	NA	NA	4.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	2.1468E-5	8.9808E+0	2.1470E-4	2.1468E-4	2.1287E-7	-3.7407E-6	-1.6356E+0	-3.7414E-5	-3.7407E-5	9.5390E-8	1.0875E-5	6.5371E+0	1.0873E-4	1.0875E-4	1.8546E-8	6	4.6892E-10	-1.7643E-9	-2.5940E-9
Z34A1	0	-1.2655E-4	-1.0324E-4	-1.1120E-5	0.00	90.00	0.00	0.00	219.21	-3.90	1.6369E-4	-1.2655E-3	-1.0324E-3	-1.1120E-4	1.3663E-7	1.7574E-8	2.5611E-7	02/28/23 1053	219.21	-3.90	5.4050E-10	-2.0336E-9	-2.9900E-9	1.2418E-7	1.2494E-7	1.2308E-7	1.2023E-7	1.0773E-7	1.0354E-7	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	1.0	183411	NA	NA	NA	NA	1.00	02/28/23 1053	SAMPLE/DISCRETE	02/28/23 1046	YES	YES	0	0	-1.2655E-4	-5.2899E+1	-1.2655E-3	-1.2655E-3	1.3663E-7	-1.0324E-4	-4.5273E+1	-1.0323E-3	-1.0324E-3	1.7574E-8	-1.1120E-5	-6.6736E+0	-1.1122E-4	-1.1120E-4	2.5611E-7	6	5.4050E-10	-2.0336E-9	-2.9900E-9
Z41A	50	-2.0332E-6	-2.3305E-6	2.0786E-6	0.00	90.00	0.00	0.00	228.90	33.90	3.7264E-6	-2.0332E-5	-2.3305E-5	2.0786E-5	9.8032E-8	1.4593E-7	2.0154E-7	02/28/23 1130	228.90	33.90	2.5360E-8	-4.4218E-10	6.0738E-10	-8.3942E-6	-8.3027E-6	5.7046E-7	5.6886E-7	-8.8443E-6	-8.8421E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183420	NA	NA	NA	NA	2.00	02/28/23 1130	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	50	50	-2.0332E-6	-1.1998E+0	-2.0303E-5	-2.0332E-5	9.8032E-8	-2.3305E-6	-9.9697E-1	-2.3301E-5	-2.3305E-5	1.4593E-7	2.0786E-6	7.1587E-1	2.0766E-5	2.0786E-5	2.0154E-7	6	2.5360E-8	-4.4218E-10	6.0738E-10
Z51A1	50	-4.6069E-6	-3.5948E-6	3.2137E-6	0.00	90.00	0.00	0.00	217.96	28.81	6.6689E-6	-4.6069E-5	-3.5948E-5	3.2137E-5	1.0367E-7	8.1474E-8	6.9372E-8	02/28/23 1130	217.96	28.81	4.1711E-8	-7.2728E-10	9.9898E-10	-8.3942E-6	-8.3027E-6	5.7046E-7	5.6886E-7	-8.8443E-6	-8.8421E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	5.0	183421	NA	NA	NA	NA	5.00	02/28/23 1130	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	50	50	-4.6069E-6	-2.2744E+0	-4.6007E-5	-4.6069E-5	1.0367E-7	-3.5948E-6	-1.5514E+0	-3.5942E-5	-3.5948E-5	8.1474E-8	3.2137E-6	1.3975E+0	3.2115E-5	3.2137E-5	6.9372E-8	6	4.1711E-8	-7.2728E-10	9.9898E-10
Z53A1	50	-5.1743E-6	-4.9239E-7	5.7105E-6	0.00	90.00	0.00	0.00	185.44	47.69	7.7217E-6	-4.1394E-5	-3.9391E-6	4.5684E-5	3.5932E-8	3.3853E-8	1.2881E-8	02/28/23 1130	185.44	47.69	5.8057E-8	-1.0123E-9	1.3905E-9	-8.3942E-6	-8.3027E-6	5.7046E-7	5.6886E-7	-8.8443E-6	-8.8421E-6	SAMPLE	NA	NA	8.00	NA	Degauss X, Y, & Z	6.0	183422	NA	NA	NA	NA	6.00	02/28/23 1130	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	50	50	-5.1743E-6	-2.0789E+0	-4.1332E-5	-4.1394E-5	3.5932E-8	-4.9239E-7	-1.4770E-1	-3.9377E-6	-3.9391E-6	3.3853E-8	5.7105E-6	2.2117E+0	4.5671E-5	4.5684E-5	1.2881E-8	6	5.8057E-8	-1.0123E-9	1.3905E-9
Z41A	100	-1.3545E-6	-1.4796E-6	1.2821E-6	0.00	90.00	0.00	0.00	227.53	32.58	2.3807E-6	-1.3545E-5	-1.4796E-5	1.2821E-5	1.4709E-7	1.4060E-7	1.1566E-7	02/28/23 1133	227.53	32.58	-3.6505E-10	-1.1599E-10	4.4660E-10	1.6070E-6	1.6057E-6	6.1799E-7	6.1758E-7	-8.7932E-6	-8.7916E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183422	NA	NA	NA	NA	2.00	02/28/23 1133	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	100	100	-1.3545E-6	-4.9895E-1	-1.3542E-5	-1.3545E-5	1.4709E-7	-1.4796E-6	-6.2164E-1	-1.4792E-5	-1.4796E-5	1.4060E-7	1.2821E-6	2.4065E-1	1.2801E-5	1.2821E-5	1.1566E-7	6	-3.6505E-10	-1.1599E-10	4.4660E-10
Z51A1	100	-3.1612E-6	-2.4658E-6	2.1341E-6	0.00	90.00	0.00	0.00	217.96	28.03	4.5418E-6	-3.1612E-5	-2.4658E-5	2.1341E-5	1.2124E-8	1.1147E-7	1.7999E-7	02/28/23 1133	217.96	28.03	-6.0037E-10	-1.9075E-10	7.3449E-10	1.6070E-6	1.6057E-6	6.1799E-7	6.1758E-7	-8.7932E-6	-8.7916E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	5.0	183423	NA	NA	NA	NA	5.00	02/28/23 1133	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	100	100	-3.1612E-6	-1.2536E+0	-3.1592E-5	-3.1612E-5	1.2124E-8	-2.4658E-6	-1.0541E+0	-2.4652E-5	-2.4658E-5	1.1147E-7	2.1341E-6	7.5219E-1	2.1318E-5	2.1341E-5	1.7999E-7	6	-6.0037E-10	-1.9075E-10	7.3449E-10
