SQUID      07.07.98\AM
Name      :3534LP98-AD4-1A
Rocktype  :DIABASE
Site      :HAAPUVAARA
Sampletype:hand sample
Comment   :
    Lat     Lon     Str     Dip     Bstr    Bdip   Vol     Mass
   65.56   28.34   83.50   39.00    0.00    0.00   9.570  28.540
AF      Dec    Inc       Int       Sus    T63       Xkomp      Ykomp      Zkomp
   0    7.44 -80.73     6030.1   24725.   1.31     233.94    -4477.8    -4032.0
  25    7.61 -81.34     5800.0   24725.   1.33     213.04    -4266.8    -3922.8
  50  356.07 -83.96     3168.7   24725.   1.34     14.931    -2242.0    -2239.2
 100  316.17 -67.41     160.84   24725.   2.99    -37.475    -131.64    -84.481
 200  295.79  87.01     98.946   24725.   1.03    -4.3679     60.039     78.528
 300  113.59  88.40     81.443   24725.   0.93     1.9646     52.118     62.552
 400   78.37  81.20     68.499   24725.   0.87     10.438     41.872     53.197
 500  104.32  79.46     54.171   24725.   0.91     9.2637     36.253     39.171
 600   93.92  77.66     39.482   24725.   1.01     8.2976     25.458     29.014
 700   98.12  72.19     33.190   24725.   1.00     9.8226     21.878     22.945
 800  115.28  60.60     31.180   24725.   1.00     13.011     23.360     16.038
 900  100.85  60.93     29.223   24725.   0.90     13.554     19.364     17.186
1000   90.77  74.34     29.187   24725.   0.82     7.8172     18.461     21.212
1200  107.74  69.63     23.838   24725.   0.92     7.5662     16.711     15.223
1400  120.73  72.94     23.186   24725.   1.00     5.4167     17.148     14.636
1600   61.55  71.36     20.609   24725.   1.39     6.1105     10.376     16.726
