Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Volume	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43572	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	19.93	19.93	19.93	345.19	345.19	345.19	7.8684E-6	0.00	90.00	0.00	0.00	0.00	7.1516E-6	2.3455E+0	5.7174E-5	5.7213E-5	2.7006E-8	-1.8904E-6	-6.2613E-1	-1.5161E-5	-1.5123E-5	1.0666E-7	2.6818E-6	1.2510E+0	2.1449E-5	2.1455E-5	4.4624E-8	2	1.7548E-9	-3.9478E-10	1.3152E-9	50568	-1.0803E-7	-1.0425E-7	-1.6362E-8	-1.7210E-8	-1.8672E-8	-1.5845E-8	0	108674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	0	0	0	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43573	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-31.45	-31.45	-31.45	328.81	328.81	328.81	9.5754E-6	0.00	90.00	0.00	0.00	0.00	6.9884E-6	2.3393E+0	5.5868E-5	5.5907E-5	2.9439E-8	-4.2303E-6	-1.3981E+0	-3.3880E-5	-3.3842E-5	1.8180E-9	-4.9956E-6	-2.3341E+0	-3.9968E-5	-3.9965E-5	4.1849E-7	2	2.1002E-9	-1.6966E-10	3.7567E-9	50947	1.0474E-6	1.0519E-6	-8.6052E-9	-8.9688E-9	-1.4646E-8	-6.5950E-9	0	109186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	100	100	100	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43574	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-33.92	-33.92	-33.92	327.73	327.73	327.73	8.8031E-6	0.00	90.00	0.00	0.00	0.00	6.1773E-6	2.0857E+0	4.9378E-5	4.9418E-5	8.1724E-7	-3.8998E-6	-1.2890E+0	-3.1238E-5	-3.1199E-5	3.6481E-8	-4.9120E-6	-2.2952E+0	-3.9299E-5	-3.9296E-5	4.4435E-7	2	1.2943E-9	-1.6820E-9	4.2791E-9	50331	1.3661E-6	1.3689E-6	-8.3628E-9	-1.1999E-8	-1.6787E-8	-7.5372E-9	0	108801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	200	200	200	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43575	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-34.70	-34.70	-34.70	327.63	327.63	327.63	7.8728E-6	0.00	90.00	0.00	0.00	0.00	5.4668E-6	1.8132E+0	4.3696E-5	4.3734E-5	5.5107E-8	-3.4649E-6	-1.1458E+0	-2.7757E-5	-2.7720E-5	1.6156E-7	-4.4821E-6	-2.0946E+0	-3.5861E-5	-3.5857E-5	9.6125E-7	2	2.5910E-9	3.9282E-10	3.1726E-9	50433	4.2018E-7	4.2577E-7	-1.6483E-8	-1.5635E-8	-1.9700E-8	-1.2847E-8	0	108924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	250	250	250	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43576	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-35.21	-35.21	-35.21	327.51	327.51	327.51	6.7696E-6	0.00	90.00	0.00	0.00	0.00	4.6655E-6	1.5454E+0	3.7284E-5	3.7324E-5	1.1557E-8	-2.9713E-6	-9.8276E-1	-2.3808E-5	-2.3770E-5	2.1513E-7	-3.9028E-6	-1.8240E+0	-3.1224E-5	-3.1222E-5	3.3720E-7	2	1.0160E-9	-5.6238E-10	5.8422E-9	50306	3.1544E-7	3.1763E-7	-1.3817E-8	-1.5029E-8	-2.1327E-8	-8.7363E-9	0	108415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	300	300	300	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43577	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-35.28	-35.28	-35.28	327.87	327.87	327.87	5.7759E-6	0.00	90.00	0.00	0.00	0.00	3.9929E-6	1.2766E+0	3.1902E-5	3.1944E-5	6.3745E-8	-2.5073E-6	-8.2980E-1	-2.0098E-5	-2.0058E-5	1.7162E-7	-3.3363E-6	-1.5593E+0	-2.6693E-5	-2.6690E-5	3.3866E-7	2	-9.0314E-10	-1.8558E-9	4.8883E-9	50306	-8.4194E-7	-8.4389E-7	-1.6726E-8	-2.0725E-8	-1.7815E-8	-7.2802E-9	0	108417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	350	350	350	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43578	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-35.02	-35.02	-35.02	329.51	329.51	329.51	4.9997E-6	0.00	90.00	0.00	0.00	0.00	3.5282E-6	1.0807E+0	2.8188E-5	2.8226E-5	8.1822E-7	-2.0773E-6	-6.8816E-1	-1.6655E-5	-1.6619E-5	1.7344E-7	-2.8694E-6	-1.3416E+0	-2.2955E-5	-2.2955E-5	2.4838E-9	2	2.7129E-9	1.4077E-9	6.8046E-9	50430	-1.8941E-6	-1.8883E-6	-2.6179E-8	-2.3149E-8	-2.6380E-8	-1.1734E-8	0	108545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	400	400	400	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43579	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-34.82	-34.82	-34.82	327.86	327.86	327.86	4.2022E-6	0.00	90.00	0.00	0.00	0.00	2.9212E-6	7.4384E-1	2.3329E-5	2.3370E-5	2.4026E-7	-1.8353E-6	-6.0906E-1	-1.4721E-5	-1.4682E-5	1.4992E-7	-2.3994E-6	-1.1218E+0	-1.9201E-5	-1.9195E-5	2.2355E-7	2	-5.6374E-11	-1.0671E-9	1.1114E-9	50300	-5.2302E-6	-5.2303E-6	-4.3268E-8	-4.5571E-8	-1.4389E-8	-1.1991E-8	0	108543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	450	450	450	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43580	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-36.89	-36.89	-36.89	328.08	328.08	328.08	3.7142E-6	0.00	90.00	0.00	0.00	0.00	2.5214E-6	6.3824E-1	2.0128E-5	2.0171E-5	2.1508E-7	-1.5707E-6	-5.2154E-1	-1.2606E-5	-1.2566E-5	1.3659E-7	-2.2295E-6	-1.0425E+0	-1.7843E-5	-1.7836E-5	1.0544E-6	2	-2.5964E-9	-2.8118E-9	2.7819E-10	50303	-4.5987E-6	-4.6043E-6	-3.5996E-8	-4.2056E-8	-1.4646E-8	-1.4047E-8	0	108414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	500	500	500	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
1003_397-U1587B-54X-6W_T8cm_NRM_05-10-2023_SMALLSRM_YJ	43581	4.0	05/10/20 1458	05/10/20 1444	8.00	4.00	-35.62	-35.62	-35.62	328.48	328.48	328.48	3.0878E-6	0.00	90.00	0.00	0.00	0.00	2.1399E-6	4.4834E-1	1.7078E-5	1.7119E-5	2.1471E-7	-1.3122E-6	-4.3669E-1	-1.0537E-5	-1.0498E-5	1.1987E-7	-1.7983E-6	-8.4086E-1	-1.4393E-5	-1.4386E-5	1.3764E-7	2	-3.3912E-10	-2.0272E-9	-1.1938E-10	50430	-6.1683E-6	-6.1690E-6	-4.7632E-8	-5.1995E-8	-1.0878E-8	-1.1134E-8	0	108543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Degauss X, Y, & Z	550	550	550	NA	NA	NA	NA	NA	SAMPLE/DISCRETE	SAMPLE	Normal: +X +Y	NA	NA	1.0	YES	YES	2.43E-5	2.42E-5	1.71E-5	1.0000	1.0000	1.0000	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
