Sample ID	Declination: Unrotated	Inclination: Unrotated	Intensity	X intensity	Y intensity	Z intensity	X corr	Y corr	Z corr	X drift	Y drift	Z drift	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Sample Timestamp	Tray Timestamp	Treatment Type	Temp C	Depth
ZK-30	167.35	-30.98	1.1694E-4	-9.7816E-5	2.1960E-5	-6.0197E-5	-9.7816E-5	2.1960E-5	-6.0197E-5	-1.7127E-7	1.1213E-9	-3.9513E-9	-4.6478E-7	-1.0399E-6	1.1522E-7	1.1899E-7	-4.7934E-8	-6.1202E-8	20/04/14 1511	20/04/14 1212	Thermal Demag	25.00	3.00
ZK-30	167.12	-31.69	1.1570E-4	-9.5976E-5	2.1940E-5	-6.0781E-5	-9.5976E-5	2.1940E-5	-6.0781E-5	-8.4010E-8	9.3509E-10	-1.1862E-9	-1.2262E-8	-5.7608E-7	1.2300E-7	1.2928E-7	-9.0062E-8	-9.8023E-8	20/04/23 1559	20/04/23 1441	Thermal Demag	50.00	1.00
ZK-30	160.61	-29.31	1.1538E-4	-9.4897E-5	3.3403E-5	-5.6485E-5	-9.4897E-5	3.3403E-5	-5.6485E-5	-8.3723E-8	1.2647E-9	-9.3395E-10	-1.6035E-8	-5.8104E-7	1.3229E-7	1.4083E-7	-9.8023E-8	-1.0433E-7	20/04/23 1850	20/04/23 1441	Thermal Demag	100.00	1.00
ZK-30	155.49	-25.82	1.1530E-4	-9.4438E-5	4.3051E-5	-5.0228E-5	-9.4438E-5	4.3051E-5	-5.0228E-5	-8.2758E-8	9.7348E-10	-7.9163E-10	-1.8488E-7	-7.3974E-7	8.4095E-8	9.0622E-8	-5.8051E-9	-1.1113E-8	20/04/24 1417	20/04/24 1251	Thermal Demag	120.00	1.00
ZK-30	151.38	-21.02	1.1311E-4	-9.2682E-5	5.0578E-5	-4.0567E-5	-9.2682E-5	5.0578E-5	-4.0567E-5	-8.3858E-8	-8.9682E-10	-5.1848E-10	-1.6177E-7	-7.2512E-7	3.0124E-8	2.4099E-8	-2.6538E-8	-3.0021E-8	20/04/24 1628	20/04/24 1251	Thermal Demag	150.00	1.00
ZK-30	154.31	-25.24	1.1110E-4	-9.0562E-5	4.3569E-5	-4.7378E-5	-9.0562E-5	4.3569E-5	-4.7378E-5	-8.9626E-8	7.4569E-10	-4.6806E-10	2.8769E-8	-5.7467E-7	1.1522E-7	1.2024E-7	-7.5300E-8	-7.8452E-8	20/04/25 1446	20/04/25 1240	Thermal Demag	200.00	1.00
ZK-30	152.44	-22.76	1.0570E-4	-8.6412E-5	4.5090E-5	-4.0886E-5	-8.6412E-5	4.5090E-5	-4.0886E-5	-8.3521E-8	3.3693E-10	-1.1378E-9	-1.3205E-8	-5.7325E-7	1.0819E-7	1.1045E-7	-5.1251E-8	-5.8880E-8	20/04/25 1756	20/04/25 1240	Thermal Demag	250.00	1.00
ZK-30	150.49	-19.79	8.9914E-5	-7.3625E-5	4.1678E-5	-3.0444E-5	-7.3625E-5	4.1678E-5	-3.0444E-5	-8.1726E-8	2.7655E-9	-7.6545E-10	-1.0942E-7	-6.5838E-7	4.7445E-8	6.6021E-8	2.2723E-8	1.7581E-8	20/04/26 1420	20/04/26 1305	Thermal Demag	300.00	1.00
ZK-30	148.43	-19.44	7.9712E-5	-6.4043E-5	3.9357E-5	-2.6524E-5	-6.4043E-5	3.9357E-5	-2.6524E-5	3.8593E-10	0.0000E+0	-8.6369E-10	-9.7625E-8	-9.5031E-8	3.1379E-8	3.1379E-8	2.3220E-8	1.7415E-8	20/04/26 1716	20/04/26 1305	Thermal Demag	350.00	1.00
ZK-30	154.09	-24.31	6.0308E-5	-4.9436E-5	2.4020E-5	-2.4823E-5	-4.9436E-5	2.4020E-5	-2.4823E-5	5.6136E-10	0.0000E+0	3.4548E-10	6.6027E-9	1.0376E-8	2.4350E-8	2.4350E-8	-2.9855E-9	-6.6344E-10	20/04/27 1438	20/04/27 1249	Thermal Demag	400.00	1.00
