SQUID;Ikayaki 1.1
 
Area:;;;Site:;
 
Operator / Date:; / Oct 5, 2021;;Latitude:;0.0;;Sample type:;hand
Specimen:;WUL938A;;Longitude:;0.0;;Strike:;225.0
Mass [g]:;11.900;;Susceptibility [SI]:;;;Dip:;23.0
Volume [cm^3]:;0.000;;Q:;;;Project type:;AF
Density [kg/m^3]:;;;;;;Rock type:;
Comment:;
 
#;AF (mT);Volume;Mass;Susceptibility;D (°);I (°);J (mAm²/kg);J/Jo;?63 (°);X' (mAm²/kg);Y' (mAm²/kg);Z' (mAm²/kg);X (mAm²/kg);Y (mAm²/kg);Z (mAm²/kg);M (Am²);X' (Am²);Y' (Am²);Z' (Am²);X (Am²);Y (Am²);Z (Am²); 
1;0;null;11.9;null;172.0;30.7;1.490E-3;1.000;0.8;-1.269E-3;1.778E-4;7.601E-4;7.715E-4;-6.446E-4;1.099E-3;1.773E-8;-1.510E-8;2.115E-9;9.045E-9;9.181E-9;-7.671E-9;1.308E-8; 
2;2.5;null;11.9;null;174.4;24.6;1.491E-3;1.001;0.8;-1.349E-3;1.315E-4;6.214E-4;8.612E-4;-7.212E-4;9.812E-4;1.775E-8;-1.606E-8;1.565E-9;7.395E-9;1.025E-8;-8.582E-9;1.168E-8; 
3;5;null;11.9;null;178.4;18.7;1.463E-3;0.982;0.9;-1.385E-3;3.828E-5;4.686E-4;9.525E-4;-7.435E-4;8.247E-4;1.741E-8;-1.649E-8;4.555E-10;5.577E-9;1.133E-8;-8.848E-9;9.814E-9; 
4;7.5;null;11.9;null;180.9;14.7;1.454E-3;0.976;0.9;-1.406E-3;-2.258E-5;3.701E-4;1.010E-3;-7.557E-4;7.228E-4;1.730E-8;-1.673E-8;-2.687E-10;4.404E-9;1.202E-8;-8.993E-9;8.602E-9; 
5;10;null;11.9;null;182.3;11.8;1.412E-3;0.948;1.0;-1.381E-3;-5.476E-5;2.885E-4;1.015E-3;-7.505E-4;6.320E-4;1.680E-8;-1.643E-8;-6.516E-10;3.434E-9;1.208E-8;-8.931E-9;7.521E-9; 
6;15;null;11.9;null;183.2;12.5;1.341E-3;0.900;1.0;-1.307E-3;-7.420E-5;2.907E-4;9.766E-4;-6.887E-4;6.081E-4;1.596E-8;-1.555E-8;-8.830E-10;3.459E-9;1.162E-8;-8.196E-9;7.237E-9; 
7;20;null;11.9;null;183.1;14.4;1.174E-3;0.788;0.9;-1.135E-3;-6.098E-5;2.927E-4;8.458E-4;-5.848E-4;5.663E-4;1.397E-8;-1.351E-8;-7.257E-10;3.484E-9;1.007E-8;-6.959E-9;6.738E-9; 
8;25;null;11.9;null;184.2;15.5;1.098E-3;0.737;1.0;-1.055E-3;-7.813E-5;2.934E-4;8.012E-4;-5.212E-4;5.399E-4;1.306E-8;-1.255E-8;-9.297E-10;3.491E-9;9.535E-9;-6.202E-9;6.425E-9; 
9;30;null;11.9;null;184.0;18.0;1.000E-3;0.671;0.9;-9.486E-4;-6.698E-5;3.095E-4;7.181E-4;-4.529E-4;5.285E-4;1.190E-8;-1.129E-8;-7.971E-10;3.683E-9;8.545E-9;-5.389E-9;6.289E-9; 
10;40;null;11.9;null;185.2;21.6;8.424E-4;0.565;0.9;-7.804E-4;-7.052E-5;3.095E-4;6.017E-4;-3.411E-4;4.810E-4;1.003E-8;-9.286E-9;-8.392E-10;3.683E-9;7.160E-9;-4.059E-9;5.724E-9; 
11;50;null;11.9;null;189.4;18.2;7.865E-4;0.528;1.0;-7.374E-4;-1.218E-4;2.451E-4;6.075E-4;-3.049E-4;3.957E-4;9.360E-9;-8.775E-9;-1.449E-9;2.917E-9;7.229E-9;-3.629E-9;4.709E-9; 
12;60;null;11.9;null;185.3;19.6;7.503E-4;0.504;1.0;-7.040E-4;-6.559E-5;2.511E-4;5.442E-4;-3.174E-4;4.076E-4;8.929E-9;-8.377E-9;-7.805E-10;2.989E-9;6.475E-9;-3.777E-9;4.850E-9; 
13;80;null;11.9;null;183.2;18.0;6.951E-4;0.467;1.0;-6.601E-4;-3.660E-5;2.149E-4;4.926E-4;-3.219E-4;3.701E-4;8.272E-9;-7.855E-9;-4.356E-10;2.557E-9;5.862E-9;-3.830E-9;4.404E-9; 
14;100;null;11.9;null;181.8;17.5;5.552E-4;0.373;0.9;-5.294E-4;-1.654E-5;1.667E-4;3.860E-4;-2.687E-4;2.951E-4;6.607E-9;-6.299E-9;-1.969E-10;1.983E-9;4.593E-9;-3.197E-9;3.512E-9; 
15;120;null;11.9;null;193.3;18.1;5.245E-4;0.352;1.0;-4.851E-4;-1.145E-4;1.632E-4;4.240E-4;-1.775E-4;2.526E-4;6.241E-9;-5.773E-9;-1.362E-9;1.942E-9;5.045E-9;-2.112E-9;3.006E-9; 
16;140;null;11.9;null;187.2;9.3;4.478E-4;0.301;0.9;-4.384E-4;-5.577E-5;7.224E-5;3.494E-4;-2.208E-4;1.722E-4;5.329E-9;-5.217E-9;-6.637E-10;8.596E-10;4.158E-9;-2.628E-9;2.049E-9; 
17;160;null;11.9;null;203.4;7.7;4.051E-4;0.272;1.1;-3.683E-4;-1.596E-4;5.462E-5;3.733E-4;-1.145E-4;1.079E-4;4.821E-9;-4.383E-9;-1.900E-9;6.499E-10;4.443E-9;-1.363E-9;1.284E-9; 
