   ET1.1  282.4 39.0   0.0   0.0   11.15  1    1
 18    827.3574    343.1 -22.6 0.7   53.6   -0.9  NOT MS
 150   787.6214    344.1 -22.2 0.2   54.7   -1.0  NOT MS
 200   763.0000    342.4 -22.7 0.5   53.0   -0.6  NOT MS
 250   729.2488    341.1 -22.7 0.7   52.0   0.1   NOT MS
 300   657.2676    340.3 -23.3 0.7   51.1   0.0   NOT MS
 350   521.5490    344.7 -21.3 1.3   55.6   -0.5  NOT MS
 400   428.6815    343.0 -22.4 0.2   53.7   -0.6  NOT MS
 425   398.1986    340.7 -23.4 0.2   51.3   -0.3  NOT MS
 450   355.8833    341.8 -23.2 0.2   52.3   -0.7  NOT MS
 475   311.3243    343.6 -21.9 0.8   54.4   -0.5  NOT MS
 525   226.9186    340.6 -23.5 0.2   51.2   -0.3  NOT MS
 550   177.7027    341.3 -22.7 0.6   52.2   0.0   NOT MS
 575   86.3516     341.4 -21.5 0.5   53.0   1.0   NOT MS
